design_id,cost_cny,lambda_max,bottleneck,design
0,0.0,0.5469150866641825,voltage:2,01:L; 12:L; 13:L
58,36720.0,0.852496720784941,voltage:3,01:L; 13:M; 02:M
59,43320.0,0.852496720784941,voltage:3,01:L; 13:M; 02:H
60,37500.0,0.875,capacity:01,01:L; 13:H; 02:L
61,42000.0,0.875,capacity:01,01:L; 13:H; 02:M
62,48600.0,0.875,capacity:01,01:L; 13:H; 02:H
63,31360.0,1.0892905149680527,voltage:3,01:M; 13:L; 02:L
64,35860.0,1.0892905149680527,voltage:3,01:M; 13:L; 02:M
65,42460.0,1.0892905149680527,voltage:3,01:M; 13:L; 02:H
66,41680.0,1.3486306864428825,voltage:3,01:M; 13:M; 02:L
67,46180.0,1.3486306864428825,voltage:3,01:M; 13:M; 02:M
68,52780.0,1.3486306864428825,voltage:3,01:M; 13:M; 02:H
69,46960.0,1.531362242659711,voltage:2,01:M; 13:H; 02:L
70,51460.0,1.5586839984784884,voltage:3,01:M; 13:H; 02:M
71,58060.0,1.5586839984784884,voltage:3,01:M; 13:H; 02:H
72,36200.0,1.4841965002576183,voltage:3,01:H; 13:L; 02:L
73,40700.0,1.4841965002576183,voltage:3,01:H; 13:L; 02:M
74,47300.0,1.4841965002576183,voltage:3,01:H; 13:L; 02:H
75,46520.0,1.531362242659711,voltage:2,01:H; 13:M; 02:L
76,51020.0,2.011144422493353,voltage:3,01:H; 13:M; 02:M
77,57620.0,2.011144422493353,voltage:3,01:H; 13:M; 02:H
78,51800.0,1.531362242659711,voltage:2,01:H; 13:H; 02:L
79,56300.0,2.375,transformer,01:H; 13:H; 02:M
80,62900.0,2.375,transformer,01:H; 13:H; 02:H
81,11680.0,0.3704908651596075,voltage:2,01:L; 13:L; 23:L
82,14080.0,0.3933599148222738,voltage:2,01:L; 13:L; 23:M
83,17600.0,0.40760127709982563,voltage:2,01:L; 13:L; 23:H
84,22000.0,0.4372148959488891,voltage:2,01:L; 13:M; 23:L
85,24400.0,0.469420982838296,voltage:2,01:L; 13:M; 23:M
86,27920.0,0.4898452899389799,voltage:2,01:L; 13:M; 23:H
87,27280.0,0.48684445068015225,voltage:2,01:L; 13:H; 23:L
88,29680.0,0.5271138512034932,voltage:2,01:L; 13:H; 23:M
89,33200.0,0.5530055042997015,voltage:2,01:L; 13:H; 23:H
90,21140.0,0.487371336017741,voltage:2,01:M; 13:L; 23:L
91,23540.0,0.5277315594522819,voltage:2,01:M; 13:L; 23:M
92,27060.0,0.553685425294161,voltage:2,01:M; 13:L; 23:H
93,31460.0,0.6097908695214906,voltage:2,01:M; 13:M; 23:L
94,33860.0,0.6743153432214413,voltage:2,01:M; 13:M; 23:M
95,37380.0,0.7172764552044947,voltage:2,01:M; 13:M; 23:H
96,36740.0,0.7108604530428649,voltage:2,01:M; 13:H; 23:L
97,39140.0,0.8001119763121888,voltage:2,01:M; 13:H; 23:M
98,42660.0,0.8613249830734591,voltage:2,01:M; 13:H; 23:H
99,25980.0,0.5933209909406472,voltage:2,01:H; 13:L; 23:L
100,28380.0,0.6542329609835489,voltage:2,01:H; 13:L; 23:M
101,31900.0,0.6945966648535505,voltage:2,01:H; 13:L; 23:H
102,36300.0,0.7852306162476035,voltage:2,01:H; 13:M; 23:L
103,38700.0,0.8955835386440031,voltage:2,01:H; 13:M; 23:M
104,42220.0,0.9729828670636814,voltage:2,01:H; 13:M; 23:H
105,41580.0,0.9612144230895214,voltage:2,01:H; 13:H; 23:L
106,43980.0,1.13195185563977,voltage:2,01:H; 13:H; 23:M
107,47500.0,1.258484221254161,voltage:2,01:H; 13:H; 23:H
108,33580.0,0.7122615082138192,voltage:3,01:L; 02:L; 23:L
109,35980.0,0.7774307985660357,voltage:3,01:L; 02:L; 23:M
110,39500.0,0.8198933685611147,voltage:3,01:L; 02:L; 23:H
111,38080.0,1.1247552090055435,voltage:3,01:L; 02:M; 23:L
112,40480.0,1.296358179216414,voltage:3,01:L; 02:M; 23:M
113,44000.0,1.4,capacity:01,01:L; 02:M; 23:H
114,44680.0,1.4,capacity:01,01:L; 02:H; 23:L
115,47080.0,1.4,capacity:01,01:L; 02:H; 23:M
116,50600.0,1.4,capacity:01,01:L; 02:H; 23:H
117,43040.0,0.7122615082138192,voltage:3,01:M; 02:L; 23:L
118,45440.0,0.7774307985660357,voltage:3,01:M; 02:L; 23:M
119,48960.0,0.8198933685611147,voltage:3,01:M; 02:L; 23:H
120,47540.0,1.1247552090055435,voltage:3,01:M; 02:M; 23:L
121,49940.0,1.296358179216414,voltage:3,01:M; 02:M; 23:M
122,53460.0,1.418893709908554,voltage:3,01:M; 02:M; 23:H
123,54140.0,1.6732717146455303,voltage:3,01:M; 02:H; 23:L
124,56540.0,2.0835895743407824,voltage:3,01:M; 02:H; 23:M
125,60060.0,2.375,transformer,01:M; 02:H; 23:H
126,47880.0,0.7122615082138192,voltage:3,01:H; 02:L; 23:L
127,50280.0,0.7774307985660357,voltage:3,01:H; 02:L; 23:M
128,53800.0,0.8198933685611147,voltage:3,01:H; 02:L; 23:H
129,52380.0,1.1247552090055435,voltage:3,01:H; 02:M; 23:L
130,54780.0,1.296358179216414,voltage:3,01:H; 02:M; 23:M
