global_iteration,query_number,outer_round,phase,iteration,cut_count_before,lower_bound,upper_bound,violation,candidate_cost_cny,candidate_lambda,design_capacity,design,candidate_x,master_bound,absolute_gap,cut_added,cut_id,cut_count_after,cut_margin_at_candidate,dual_stationarity_error,dual_normalization,dual_min_multiplier,strong_duality_error,action,master_status
31,5,3,MP2,14,26,1.5668874267432231,1.6666666666666665,0.051016266652209145,43980.0,1.6666666666666667,1.13195185563977,01:H; 13:H; 23:M,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",1.6666666666666667,0.0997792399234434,True,27.0,27,-0.051016266652209125,1.0842021724855044e-19,1.0,-0.0,2.0816681711721685e-17,add_cut,optimal
32,5,3,MP2,15,27,1.5668874267432231,1.6666666666666665,0.06877203530329663,41580.0,1.6666666666666667,0.9612144230895214,01:H; 13:H; 23:L,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",1.6666666666666665,0.0997792399234434,True,28.0,28,-0.06877203530329662,2.168404344971009e-19,1.0,-0.0,1.3877787807814457e-17,add_cut,optimal
33,5,3,MP2,16,28,1.5668874267432231,1.6666666666666665,0.038338365295592834,47500.0,1.6666666666666667,1.258484221254161,01:H; 13:H; 23:H,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1.6666666666666667,0.0997792399234434,True,29.0,29,-0.0383383652955929,4.336808689942018e-19,1.0,-0.0,6.245004513516506e-17,add_cut,optimal
34,5,3,MP2,17,29,1.6666666666666667,1.6666666666666665,0.0,41600.0,1.6666666666666667,1.6666666666666667,01:H; 12:H; 13:H,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1.6666666666666667,-2.220446049250313e-16,False,,29,0.0,0.0,1.0,-0.0,0.0,accept,optimal
35,6,3,MP1,1,29,22040.0,inf,0.04573178078056292,22040.0,1.6666666666666667,1.227379636693424,01:H; 12:M; 13:L,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",22040.0,inf,True,30.0,30,-0.045731780780562975,4.336808689942018e-19,1.0,-0.0,5.551115123125783e-17,add_cut,optimal
36,6,3,MP1,2,30,29900.0,inf,0.043551439508680685,29900.0,1.6666666666666667,1.2273796366934238,01:H; 12:L; 13:H,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",29900.0,inf,True,31.0,31,-0.043551439508680706,0.0,1.0,-0.0,2.0816681711721685e-17,add_cut,optimal
37,6,3,MP1,3,31,33720.0,inf,0.07410883914368556,33720.0,1.6666666666666667,0.9426248999344807,01:H; 12:M; 23:L,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",33720.0,inf,True,32.0,32,-0.07410883914368574,2.168404344971009e-19,1.0,-0.0,1.8041124150158794e-16,add_cut,optimal
38,6,3,MP1,4,32,36120.0,inf,0.06069761223219501,36120.0,1.6666666666666667,1.060246636302032,01:H; 12:M; 23:M,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",36120.0,inf,True,33.0,33,-0.060697612232194886,2.168404344971009e-19,1.0,-0.0,1.249000902703301e-16,add_cut,optimal
39,6,3,MP1,5,33,37640.0,inf,0.009605982155488106,37640.0,1.6666666666666667,1.5668874267432231,01:H; 12:M; 13:H,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",37640.0,inf,True,34.0,34,-0.009605982155487885,0.0,1.0,-0.0,2.203098814490545e-16,add_cut,optimal
40,6,3,MP1,6,34,41600.0,41600.0,0.0,41600.0,1.6666666666666667,1.6666666666666667,01:H; 12:H; 13:H,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",41600.0,0.0,False,,34,0.0,0.0,1.0,-0.0,0.0,accept,optimal
41,7,4,MP2,1,34,0.7147539199396524,1.6249999999999998,0.10590823929864257,40740.0,1.6249999999999998,0.7147539199396524,12:M; 13:L; 02:H,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",1.6249999999999998,0.9102460800603474,True,35.0,35,-0.1059082392986426,4.336808689942018e-19,1.0,-0.0,2.7755575615628914e-17,add_cut,optimal
